,Name,Price,Rating,Number Of Rating,Number Of Reviews,Link
42,"Infinix Hot S3 (Sandstone Black, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-sandstone-black-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF22VTC5PCHKDB&lid=LSTMOBF22VTC5PCHKDBJK9REU&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTC5PCHKDB.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
43,"Infinix Hot S3 (Blush Gold, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-blush-gold-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF22VTWZVGR8GG&lid=LSTMOBF22VTWZVGR8GGHZPOBX&marketplace=FLIPKART&srno=b_2_44&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTWZVGR8GG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
44,"Infinix Hot S3 (Bordeaux Red, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-bordeaux-red-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF3S32F25UHP5S&lid=LSTMOBF3S32F25UHP5SROQS8M&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF3S32F25UHP5S.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
45,"Infinix Hot S3 (Topaz Blue, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-topaz-blue-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF3S32SGYWWYM6&lid=LSTMOBF3S32SGYWWYM6YDSJMU&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF3S32SGYWWYM6.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
46,"Infinix Note 4 (Milan Black, 32 GB)  (3 GB RAM)","8,999",4.2,"62,546 Ratings "," 17,187 Reviews",https://www.flipkart.com/infinix-note-4-milan-black-32-gb/p/itmewf3utfdfh3nf?pid=MOBEWF3UPGQHFJXG&lid=LSTMOBEWF3UPGQHFJXG2BIN4U&marketplace=FLIPKART&srno=b_2_47&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEWF3UPGQHFJXG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
47,"Infinix Note 5 (Berlin Gray, 64 GB)  (4 GB RAM)","7,699",4.2,"8,266 Ratings "," 1,112 Reviews",https://www.flipkart.com/infinix-note-5-berlin-gray-64-gb/p/itmf84r8hrdzuzvf?pid=MOBF84R89ECB9GZG&lid=LSTMOBF84R89ECB9GZGRH03O0&marketplace=FLIPKART&srno=b_2_48&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF84R89ECB9GZG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
48,"Infinix Zero 5 Pro (Bronze Gold Black, 128 GB)  (6 GB RAM)","19,999",4.3,"3,160 Ratings ", 909 Reviews,https://www.flipkart.com/infinix-zero-5-pro-bronze-gold-black-128-gb/p/itmezm2mt2jt9nqj?pid=MOBEZM2MX87HCSJE&lid=LSTMOBEZM2MX87HCSJESBLDYJ&marketplace=FLIPKART&srno=b_3_49&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBEZM2MX87HCSJE.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
